id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2026-01-31 23:25:23,"{""short_code"":""Hm2XUT"",""original_url"":""https://seeded.app/forest/zenith/1""}"
2,2,261,created,2025-01-20 12:42:07,"{""short_code"":""4Z2XAU"",""original_url"":""https://hackstack.io/keen/zenith/2""}"
3,3,262,created,2025-04-20 00:20:33,"{""short_code"":""1fsrlw"",""original_url"":""https://hackstack.io/proud/zenith/3""}"
4,4,161,created,2025-08-14 08:17:01,"{""short_code"":""1rvfdB"",""original_url"":""https://hackstack.io/young/uplink/4""}"
5,5,349,created,2025-12-24 03:20:27,"{""short_code"":""wInPKF"",""original_url"":""https://example.com/vivid/signal/5""}"
6,6,193,created,2025-04-30 06:38:15,"{""short_code"":""Vn6Udr"",""original_url"":""https://relay.cloud/urban/journey/6""}"
7,7,182,created,2025-05-09 11:34:57,"{""short_code"":""Ksh9G3"",""original_url"":""https://hackstack.io/harbor/delta/7""}"
8,8,227,created,2026-02-03 23:53:36,"{""short_code"":""zFhKIO"",""original_url"":""https://hackstack.io/harbor/trail/8""}"
9,9,89,created,2026-01-03 03:15:19,"{""short_code"":""AGp2xY"",""original_url"":""https://seeded.app/ivory/delta/9""}"
10,10,315,created,2025-11-14 14:42:09,"{""short_code"":""pYAgQj"",""original_url"":""https://example.com/mellow/beacon/10""}"
11,11,227,created,2025-12-24 23:22:46,"{""short_code"":""YY4OGT"",""original_url"":""https://relay.cloud/dawn/lagoon/11""}"
12,12,65,created,2025-11-15 23:49:56,"{""short_code"":""VuVw6w"",""original_url"":""https://relay.cloud/jade/lagoon/12""}"
13,13,27,created,2025-12-13 07:36:50,"{""short_code"":""fjWbym"",""original_url"":""https://hackstack.io/lively/trail/13""}"
14,14,285,created,2025-06-15 12:36:50,"{""short_code"":""VqisWv"",""original_url"":""https://seeded.app/dawn/window/14""}"
15,15,214,created,2025-01-09 14:45:53,"{""short_code"":""GmpZkY"",""original_url"":""https://opswise.net/urban/quartz/15""}"
16,16,150,created,2025-01-29 19:27:10,"{""short_code"":""ivRdQu"",""original_url"":""https://relay.cloud/dawn/delta/16""}"
17,17,395,created,2025-07-20 02:59:43,"{""short_code"":""xhRG3w"",""original_url"":""https://seeded.app/calm/meadow/17""}"
18,18,134,created,2025-04-17 04:02:56,"{""short_code"":""UB70wb"",""original_url"":""https://opswise.net/forest/uplink/18""}"
19,19,153,created,2025-01-30 02:27:04,"{""short_code"":""IWtcK5"",""original_url"":""https://example.com/mellow/signal/19""}"
20,20,372,created,2025-02-21 23:11:12,"{""short_code"":""x2xtXq"",""original_url"":""https://acme.dev/forest/anchor/20""}"
21,21,261,created,2026-01-22 15:44:28,"{""short_code"":""MQigso"",""original_url"":""https://hackstack.io/dawn/valley/21""}"
22,22,285,created,2025-02-02 09:54:34,"{""short_code"":""ryWGJa"",""original_url"":""https://relay.cloud/rapid/island/22""}"
23,23,18,created,2025-01-04 02:12:52,"{""short_code"":""VOPurx"",""original_url"":""https://example.com/jade/signal/23""}"
24,24,296,created,2025-04-06 14:05:27,"{""short_code"":""A65cGo"",""original_url"":""https://seeded.app/quiet/river/24""}"
25,25,167,created,2025-12-18 08:43:44,"{""short_code"":""BgDKyp"",""original_url"":""https://opswise.net/mellow/beacon/25""}"
26,26,159,created,2025-03-13 22:18:15,"{""short_code"":""ick6X0"",""original_url"":""https://opswise.net/cobalt/kernel/26""}"
27,27,127,created,2025-02-16 23:56:14,"{""short_code"":""MF4WMK"",""original_url"":""https://opswise.net/silver/journey/27""}"
28,28,162,created,2025-08-14 12:46:19,"{""short_code"":""YSsoxZ"",""original_url"":""https://acme.dev/proud/valley/28""}"
29,29,133,created,2025-08-03 05:17:17,"{""short_code"":""X29hus"",""original_url"":""https://hackstack.io/gold/harvest/29""}"
30,30,49,created,2025-07-05 10:19:06,"{""short_code"":""HISS5B"",""original_url"":""https://acme.dev/gold/meadow/30""}"
31,31,84,created,2025-09-12 06:46:34,"{""short_code"":""BHkO5K"",""original_url"":""https://relay.cloud/forest/field/31""}"
32,32,249,created,2026-02-03 12:15:26,"{""short_code"":""ZJRbOa"",""original_url"":""https://hackstack.io/urban/window/32""}"
33,33,214,created,2025-11-21 22:41:29,"{""short_code"":""pKZmrN"",""original_url"":""https://example.com/rapid/harvest/33""}"
34,34,10,created,2025-03-01 06:30:52,"{""short_code"":""AAziYk"",""original_url"":""https://example.com/ember/signal/34""}"
35,35,212,created,2025-05-11 10:31:26,"{""short_code"":""02jnwf"",""original_url"":""https://relay.cloud/vivid/kernel/35""}"
36,36,371,created,2025-11-28 19:26:43,"{""short_code"":""nLaPkO"",""original_url"":""https://hackstack.io/keen/pioneer/36""}"
37,37,270,created,2025-09-13 00:40:02,"{""short_code"":""APQ9Ui"",""original_url"":""https://relay.cloud/vivid/garden/37""}"
38,38,309,created,2025-01-09 00:14:12,"{""short_code"":""mv3F2L"",""original_url"":""https://acme.dev/vivid/canyon/38""}"
39,39,389,created,2025-04-20 21:50:45,"{""short_code"":""lTPug3"",""original_url"":""https://opswise.net/forest/lagoon/39""}"
40,40,373,created,2025-03-08 01:38:07,"{""short_code"":""lgRZfG"",""original_url"":""https://hackstack.io/jade/kernel/40""}"
41,41,162,created,2025-06-11 08:11:45,"{""short_code"":""7NqyUD"",""original_url"":""https://acme.dev/lively/network/41""}"
42,42,397,created,2025-02-21 16:56:35,"{""short_code"":""aAE8b7"",""original_url"":""https://seeded.app/vivid/pioneer/42""}"
43,43,118,created,2025-04-09 00:57:25,"{""short_code"":""ELF9EH"",""original_url"":""https://relay.cloud/ivory/pioneer/43""}"
44,44,149,created,2025-08-07 02:33:53,"{""short_code"":""qxRlBm"",""original_url"":""https://opswise.net/navy/island/44""}"
45,45,319,created,2025-01-13 06:06:20,"{""short_code"":""KmYc8u"",""original_url"":""https://seeded.app/navy/anchor/45""}"
46,46,308,created,2025-07-20 02:12:16,"{""short_code"":""x8xpyI"",""original_url"":""https://opswise.net/cobalt/uplink/46""}"
47,47,297,created,2025-08-03 21:10:20,"{""short_code"":""dFdq21"",""original_url"":""https://opswise.net/brisk/anchor/47""}"
48,48,144,created,2025-04-29 20:00:42,"{""short_code"":""kCHXKK"",""original_url"":""https://acme.dev/keen/network/48""}"
49,49,301,created,2025-11-04 01:14:56,"{""short_code"":""nZPcO2"",""original_url"":""https://seeded.app/quiet/harvest/49""}"
50,50,224,created,2025-10-24 05:50:35,"{""short_code"":""kR9sem"",""original_url"":""https://example.com/clear/zenith/50""}"
51,51,144,created,2025-01-02 04:02:41,"{""short_code"":""eaj6tB"",""original_url"":""https://relay.cloud/harbor/trail/51""}"
